name,title,url_link
M2,[릴레이댄스] NewJeans(뉴진스) - Attention (4K),https://www.youtube.com//watch?v=LjNKUy4hr5c
Mera,220921 뉴진스 (NewJeans) Hype boy 4K Cam (단국대학교축제),https://www.youtube.com//watch?v=48ONQfpIbyU
드라마갤러리,장원영이 뉴진스 멤버들에게 돌렸다는 명품 향수의 놀라운 가격대..ㄷㄷ,https://www.youtube.com//watch?v=eCL2YwS5WoY
리액션TV,"""뉴진스 어텐션, 처음 본 외국인 반응은?"" 뉴진스 attention 해외반응 리액션 한글자막 NewJeans MV reaction",https://www.youtube.com//watch?v=C3yW6Osn6LY
드라마갤러리,뉴진스 민지가 이수만의 캐스팅 제안을 단칼에 거절한 이유,https://www.youtube.com//watch?v=bOKoVCyw0Us
KCON official,[Full Shot🎥] NewJeans (뉴진스) - Hype Boy | MULTI CAM | KCON 2022 SAUDI ARABIA,https://www.youtube.com//watch?v=75ulkaYc9Us
it's Live,[4K] NewJeans (뉴진스) -“Hurt” Band LIVE Concert│최초로 공개하는 뉴진스의 Hurt FULL ver.💗 [it’s KPOP LIVE 잇츠라이브],https://www.youtube.com//watch?v=DaCx8_hLxTY
NewJeans,NewJeans (뉴진스) 'Hype Boy' Dance Practice,https://www.youtube.com//watch?v=9JcJ5E1BloU
NewJeans,NewJeans (뉴진스) 'Attention' Dance Practice,https://www.youtube.com//watch?v=1VAn7CX_omg
NewJeans,NewJeans (뉴진스) 1st EP 'New Jeans' COUNTDOWN LIVE,https://www.youtube.com//watch?v=zfdI4ItNEJQ
윙바디폭주,221008 뉴진스 (NewJeans) - Hype Boy (하입보이)@ TAM THE Fact Music Awards 2022,https://www.youtube.com//watch?v=NnEIz4bNSII
Soul,뉴진스 - Hype Boy (1시간) / 가사,https://www.youtube.com//watch?v=OYyrZNU4Jl8
패션선도부,뉴진스 민지 연세대 축제 패션 알아보기!,https://www.youtube.com//shorts/wK1RUFp82yg
빵사,[뉴진스] 쉴 새 없이 조잘대는 편,https://www.youtube.com//shorts/iUh7OjsyEW0
YummybearTV,NEW JEANS 뉴진스 Win 'NEXT LEADER' in The Fact Music Awards 2022,https://www.youtube.com//watch?v=wGZzKMBkV68
남조선례술저장소,개소름;; 쿠키 논란 이후 하이브가 뉴진스에게 저지르고 있는 일들ㄷㄷ,https://www.youtube.com//watch?v=6FIviXfoR-4
Mera,220924 뉴진스 (NewJeans) 'Attention'  4K Cam (연세대 아카라카) AKARAKA,https://www.youtube.com//watch?v=2TdRqextzzk
NewJeans,[NewZips] Welcome to 뉴캠프🚞💨 EP.2ㅣNewJeans,https://www.youtube.com//watch?v=NzbZrknwTgA
소소,내가 들으려고 올리는 뉴진스 1시간 (playlist),https://www.youtube.com//watch?v=RdomEsTGSNo
비디터ᴠɪᴅɪᴛᴏʀ,뉴진스_어텐션_댓글모음,https://www.youtube.com//watch?v=pOqkjXiBjQE
Bridge TV,"뉴진스 쿠키 선정성 논란, 현지에서 직접 확인해 봤습니다 (ft. 동시통역사)",https://www.youtube.com//watch?v=tp-o5gu0kLA
idol studio,NewJeans (뉴진스) 'Attention' (교차편집 Stage Mix),https://www.youtube.com//watch?v=B44EMIPlOl4
NewJeans,[Making Jeans] NewJeans (뉴진스) 1st EP 'New Jeans' 비하인드 EP.1,https://www.youtube.com//watch?v=tsCqgK9Gsp4
【탈덕수용소】 Sojang,"뉴진스 첫 팬싸인회 후 국내, 해외까지 난리난 상황",https://www.youtube.com//watch?v=9aDTX0KOsaI
